steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length
76561199363017861,2,1,51383,3234,51118,2023-04-29 20:59:52,137468268,schinese,沙比制作者 活该没人玩这款游戏 nt,2023-04-29 15:58:01,2023-04-29 15:58:01,False,3,0,0.550286173820495605,0,True,False,False,True,,18
76561198996553519,30,2,2202,315,2159,2023-04-29 18:08:14,137467970,schinese,very nice,2023-04-29 15:50:03,2023-04-29 15:50:03,True,0,0,0.487804889678955078,0,True,False,False,True,,9
76561198333048597,168,95,30364,106,30267,2023-04-30 20:29:02,137467710,schinese,😭回来吧黎明杀机😭;🌟我最骄傲的信仰🌟;⚡历历在目的钢筋⚡;😭眼泪莫名在流淌😭;💥依稀记得天灾钩💥;👍还有给力的奶包👍;⚡把人皇都给打退⚡;✨通宵肝书也不累✨,2023-04-29 15:42:54,2023-04-29 15:42:54,False,0,0,0,0,True,False,False,True,,79
76561199149066653,15,1,68699,507,68699,2023-04-22 21:23:32,137467640,schinese,垃圾改动，瞎几把改,2023-04-29 15:40:56,2023-04-29 15:40:56,False,0,0,0,0,True,False,False,True,,9
76561199095726350,73,5,12467,344,12206,2023-04-30 12:43:37,137467249,schinese,傻逼制作组，不会改平衡就他妈别改，你mb玩个杀手,控机技能全他妈削废了是吧，技能削废我忍了，你妈的，玩个杀手，排到的基本全他妈是速修车队，傻逼游戏，傻逼制作组;,2023-04-29 15:30:47,2023-04-29 15:30:47,False,0,0,0,0,True,False,False,True,,80
76561199096240286,15,2,310,55,254,2023-04-29 18:22:48,137467139,schinese,zzz能不能先玩玩游戏再改？？？现在这个版本就跟第五有什么区别，除了守尸，守三连，速修，还能有什么玩法可以玩？脑瘫制作组，屠控不了机，人一刀死，就真的两边都恶心是吧？,2023-04-29 15:27:18,2023-04-29 15:27:18,False,0,0,0,0,True,False,False,True,,83
76561199119886000,39,1,3501,310,3290,2023-04-30 23:47:24,137467019,schinese,平衡做的一坨史，人类钢筋成废铁，治疗速度慢的要死，把把带医疗箱，玩屠夫你又nm把控机技能全砍了，跟你妈傻逼一样，机子控不到，一会叮一声，一会叮一声，不知道还以为这把有个小叮当搁你制作组家人面前敲丧钟，咋地，理解第五，成为第五，然后超越第五？骂你活该，你就看你游戏凉，恶心单边人，也恶心单边屠，两边都恶心到。,2023-04-29 15:24:13,2023-04-29 15:24:13,False,0,0,0,0,True,False,False,True,,153
76561199427935242,10,2,1328,0,1328,2023-04-05 10:43:57,137466449,schinese,很好玩，很治愈，刚原价买就打折真的会谢。,2023-04-29 15:07:47,2023-04-29 15:07:47,True,0,0,0,0,True,False,False,True,,20
76561199400699732,1,1,26777,307,26632,2023-04-29 16:19:03,137464740,schinese,黎明杀机死于此版本,2023-04-29 14:16:15,2023-04-29 14:16:15,False,0,0,0,0,False,False,False,True,,9
76561198301518806,106,3,59049,34,59049,2023-04-22 18:48:30,137463042,schinese,仅根据数据执行的糟糕的技能平衡 ;,2023-04-29 13:28:15,2023-04-29 13:28:15,False,0,0,0,0,False,False,False,True,,17
76561199465602062,3,2,261,76,184,2023-04-29 19:09:50,137462044,schinese,好玩,2023-04-29 13:00:14,2023-04-29 13:00:14,True,0,0,0.476190477609634399,0,False,False,False,True,,2
76561199401435202,4,1,10686,57,10628,2023-04-29 20:01:46,137461040,schinese,建议制作组先去玩玩自己做的游戏再去做改动，别一天天的拿着工资还在出产答辩,2023-04-29 12:32:22,2023-04-29 12:32:22,False,0,0,0,0,True,False,False,True,,36
76561198448769564,87,13,3908,1327,2706,2023-04-30 22:38:58,137458095,schinese,垃圾游戏,2023-04-29 11:14:59,2023-04-29 11:14:59,False,0,0,0,0,True,False,False,True,,4
76561199099616473,26,7,4032,1005,3383,2023-04-30 22:43:39,137456696,schinese,虽然没以前那么好玩了，但是还是不错的吖，值得试试,2023-04-29 10:39:23,2023-04-29 10:39:23,True,0,0,0.476190477609634399,0,True,False,False,True,,24
76561199413653571,11,1,43208,2260,42922,2023-04-29 23:56:02,137456689,schinese,狗屎一样的版本,2023-04-29 10:39:14,2023-04-29 10:39:14,False,0,0,0,0,True,False,False,True,,7
76561198440895162,46,4,78822,40,78822,2023-04-29 10:25:37,137456336,schinese,烂，狗屎,2023-04-29 10:29:30,2023-04-29 10:29:30,False,0,0,0,0,True,False,False,True,,4
76561198421475735,68,7,17968,4661,17811,2023-04-30 23:00:21,137454406,schinese,只因你太美,2023-04-29 09:38:45,2023-04-29 09:38:45,False,2,0,0.508196711540222168,0,True,False,False,True,,5
76561199475221880,3,1,1716,238,1698,2023-04-29 08:05:44,137435511,schinese,ywsygdatgdas,2023-04-29 02:21:36,2023-04-29 02:21:36,True,0,0,0.498154997825622559,0,True,False,False,True,,12
76561199070805910,76,4,4497,4497,4319,2023-04-30 16:31:53,137435265,schinese,最屎的版本入坑。最好的游戏体验，可能因为玩的特别好的都退坑了吧，新手20小时上萤红1,2023-04-29 02:17:09,2023-04-29 02:17:09,True,2,0,0.506352066993713379,0,True,False,False,True,,42
