steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561198315853891,47,3,238,238,181,2023-05-02 19:08:49,137668400,schinese,《简单的要死 》,2023-05-02 18:11:37,2023-05-02 18:11:37,True,0,0,0,0,True,False,False,True,,8,False
76561199381166820,9,1,908,908,759,2023-05-02 22:40:08,137667517,schinese,挺不错的，就是几个人配合不好,2023-05-02 17:41:56,2023-05-02 17:41:56,True,0,0,0,0,True,False,False,True,,14,False
76561199227091087,18,1,1756,380,1511,2023-05-02 21:37:02,137667147,schinese,6;6;6;66;66;66;6;6;;36;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;66;6;6;6;6;6;6;6;66;;6;6;6;6;6;66;6;6;6;6;6;6;6;6;6;6;6;6;6;6;66;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;66;6;66;6;6;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;6;;66;6;6;6;6;;6;6;6;66;6;6;66666;6;666;6;;6;66;;66;6;6;;66;6;6;6;6;6;;66;;66;6;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;6;,2023-05-02 17:30:07,2023-05-02 17:30:07,True,0,0,0.454545468091964722,0,True,False,False,True,,414,False
76561198433349473,20,1,731,731,706,2023-05-02 18:11:21,137667003,schinese,买一送一嘎嘎香,2023-05-02 17:24:45,2023-05-02 17:24:45,True,0,0,0,0,True,False,False,True,,7,False
76561198129947454,14,8,452,452,404,2023-05-02 21:15:49,137667001,schinese,入手有点难，最高配置还是朋友,2023-05-02 17:24:44,2023-05-02 17:24:44,True,0,0,0,0,True,False,False,True,,14,False
76561199210925853,5,1,3058,2690,2978,2023-05-02 19:32:42,137666690,schinese,妙啊;,2023-05-02 17:15:32,2023-05-02 17:15:32,True,0,0,0,0,True,False,False,True,,3,False
76561199172936631,2,1,209,209,201,2023-05-02 23:36:13,137666605,schinese,进不去,2023-05-02 17:12:32,2023-05-02 17:12:32,True,0,0,0,0,True,True,False,True,,3,False
76561198319523296,52,7,226,226,226,2023-05-02 02:18:19,137666371,tchinese,My friend died a lot is so funny.,2023-05-02 17:05:42,2023-05-02 17:05:42,True,0,0,0,0,True,False,False,True,,33,False
76561198391548615,71,9,579,173,570,2023-05-02 17:15:01,137666347,schinese,不会真有人面对4.8双份饥荒会犹豫吧。我12买的不说值不值亏不亏，只能说买早了。错过我建议你别买了,2023-05-02 17:05:00,2023-05-02 17:05:00,True,0,0,0,0,False,False,False,True,,49,False
76561199348082346,16,2,237,237,237,2023-05-02 17:03:38,137666315,schinese,牛牛,2023-05-02 17:03:57,2023-05-02 17:03:57,False,0,0,0.476190477609634399,0,True,False,False,True,,2,False
